Title,Link
,https://foodfromthought.ca/
,https://twitter.com/uofg_fft?lang=en
,https://www.youtube.com/channel/UC7CjOHQecw3QtPLthBJ9Paw
Agri-Food Data Canada,https://agrifooddatacanada.ca/
Agri-Food Pathogens,https://foodfromthought.ca/research/pathogens/
Agri-Food Pathogens (Previous),https://foodfromthought.ca/?post_type=research&p=3151
Angela CánovasAssistant Professor (Animal Biosciences),https://foodfromthought.ca/expert/angela-canovas/
Biodiversity,https://foodfromthought.ca/?post_type=research&p=3149
Biodiversity and Ecosystems,https://foodfromthought.ca/research/biodiversity-and-ecosystems/
Bonnie MallardProfessor (Pathobiology),https://foodfromthought.ca/expert/bonnie-mallard/
Breeding Livestock for Climate Resilience,https://foodfromthought.ca/research/livestock/breeding-livestock-for-climate-resilience/
Breeding Livestock for Climate Resilience: The Capacity to Maintain Production...,https://foodfromthought.ca/research/livestock/breeding-livestock-for-climate-resilience-the-capacity-to-maintain-production-and-fitness/
COVID-19,https://foodfromthought.ca/covid-19/
Christine BaesAssistant Professor (Animal Biosciences),https://foodfromthought.ca/expert/christine-baes/
Climate Smart Agriculture,https://foodfromthought.ca/research/climate-smart-agriculture/
Conference Bursaries,https://foodfromthought.ca/?page_id=6300
Crops,https://foodfromthought.ca/research/crops/
Digital Ag,https://foodfromthought.ca/research/digital-ag/
Ecosystems,https://foodfromthought.ca/?post_type=research&p=3150
"Equity, Diversity, Inclusion",https://foodfromthought.ca/equity-diversity-inclusion/
Events,https://foodfromthought.ca/event/
Feedback Blog,https://foodfromthought.ca/feedback/
Flavio SchenkelProfessor (Animal Biosciences),https://foodfromthought.ca/expert/flavio-schenkel/
Governance of Food from Thought,https://foodfromthought.ca/governance/
Grégoy BédécarratsProfessor (Animal Biosciences),https://foodfromthought.ca/expert/gregoy-bedecarrats/
Home,https://foodfromthought.ca/
Identification of Metabolic Markers for On-farm Selection of Gilts with...,https://foodfromthought.ca/research/livestock/identification-of-metabolic-markers-for-on-farm-selection-of-gilts-with-high-reproductive-potential/
Identifying Genetic Markers Associated with Low Stress Reaction in Pigs,https://foodfromthought.ca/research/livestock/identifying-genetic-markers-associated-with-low-stress-reaction-in-pigs/
Innovation and Knowledge Mobilization,https://foodfromthought.ca/innovationkmb/
Integrated Food Systems,https://foodfromthought.ca/research/integrated-food-sytems/
Integrated Food Sytems,https://foodfromthought.ca/research/integrated-food-sytems/
John CantProfessor (Animal Biosciences),https://foodfromthought.ca/expert/john-cant/
Julang LiProfessor (Animal Biosciences),https://foodfromthought.ca/expert/julang-li/
Kate ShovellerAssociate Professor (Animal Biosciences),https://foodfromthought.ca/expert/kate-shoveller/
Latest News,https://foodfromthought.ca/news/
Livestock,https://foodfromthought.ca/research/livestock/
Methods to Assess Protein Quality,https://foodfromthought.ca/research/livestock/methods-to-assess-protein-quality/
Ming Z. FanProfessor (Animal Biosciences),https://foodfromthought.ca/expert/ming-z-fan/
Mission and Team,https://foodfromthought.ca/mission-and-team/
Niel KarrowProfessor (Animal Biosciences),https://foodfromthought.ca/expert/niel-karrow/
"Ontario Beef Research CentreFood from Thought livestock research will lead to improved productivity, reduced environmental impact and increased health and welfare.",https://foodfromthought.ca/mission-and-team/
Ontario Beef Research CentreMany of Food from Thought's livestock researchers work within the Department of Animal Biosciences.,http://animalbiosciences.uoguelph.ca/
"Ontario Dairy Research CentreLivestock research is frequently conducted at this state-of-the-art 175,000 square foot facility, one of many U of G animal research facilities.",https://www.uoguelph.ca/alliance/research-facilities/elora-dairy
Opportunities,https://foodfromthought.ca/opportunities/
Partners,https://foodfromthought.ca/partners/
Precision Dairy Cattle Management,https://foodfromthought.ca/research/livestock/precision-dairy-cattle-management/
Precision Poultry Management: Tackling Sustainability Issues of Egg and Chicken...,https://foodfromthought.ca/research/livestock/precision-poultry-management-tackling-sustainability-issues-of-egg-and-chicken-production/
Recognizing HQP Scholars,https://foodfromthought.ca/recognizing-hqp-scholars/
Renée BergeronAssociate Professor (Animal Biosciences),https://foodfromthought.ca/expert/renee-bergeron/
Research,https://foodfromthought.ca/research/
Resources,https://foodfromthought.ca/resources/
Roles of Alkaline Phosphatases in Gut Health and Nutrient Utilization...,https://foodfromthought.ca/research/livestock/roles-of-alkaline-phosphatases-in-gut-health-and-nutrient-utilization-in-pigs-health/
The Animal Database,https://foodfromthought.ca/research/livestock/the-animal-database/
The Feed Newsletter,https://foodfromthought.ca/the-feed-enewsletter/
Tina WidowskiEggs Farmers of Canada Research ...,https://foodfromthought.ca/expert/tina-widowski/
Training Programs,https://foodfromthought.ca/training-programs/
Trevor DeVriesAssociate Professor and Canada Research ...,https://foodfromthought.ca/expert/trevor-devries/
University of Guelph,https://foodfromthought.ca/
University of Guelph,https://www.uoguelph.ca/
