Title,Link
Food Processing Companies,https://cmc-cvc.com/about-us/our-members/
AgriPathways,https://cahrc-ccrha.ca/tools/agrijobs
Canadian Federation of Agriculture (CFA),https://www.cfa-fca.ca/
Fédération de la relève agricole du Québec (FRAQ),http://fraq.quebec/
Agricultural events,https://www.farmmarketer.com/events
Canada - Food and Consumer Products Industry,https://www.fhcp.ca/Industry-Resources
Science on the Farm,https://www.science.org/content/article/science-farm-feature-index
Agriculture and Ari-Business Programs and Service Finder,https://agpal.ca/#/search
Agriculture and Agri-Food Research Centres,https://agriculture.canada.ca/en/science/agriculture-and-agri-food-research-centres
Quebec - Food and Nutrition,https://www.quebecinternational.ca/en/choose-quebec/quebec-industries/food-and-nutrition
Government of Canada - Agriculture and food production job websites and employee resources,https://agriculture.canada.ca/en/sector/step-plate
Agricultural Institute of Canada (AIC),https://www.aic.ca/
agribusiness,https://www.mcgill.ca/caps/category/tags/agribusiness
Quebec - Agri-Business Cooperatives,https://sollio.coop/en/our-members
Canada - Agriculture and Food Trade Shows and Events,https://www.agr.gc.ca/eng/international-trade/trade-show-service/?id=1410072148325
Canadian Food and Grocery Directory,https://www.contactcanada.com/database/freesearch.php?portal=0a10
Placement Agencies,https://mcgillcaps.ca/directory/?dosrch=1&q=&wpbdp_view=search&listingfields%5B1%5D=&listingfields%5B4%5D=&listingfields%5B2%5D=289&listingfields%5B9%5D=agriculture
Quebec - Food Security Organizations,https://www.rccq.org/fr/category/nos-membres/
Canada - Good Food Organization,https://cfccanada.ca/en/Our-Work/Good-Food-Organizations
agri-food,https://www.mcgill.ca/caps/category/tags/agri-food
Agriculture Career Guide,https://talentegg.ca/career-guides/agriculture/
Agriculture & Agri-Food System,https://www.mcgill.ca/caps/students/explore/industry/agriculture
Quebec - Agri-Food Export Group Directory,http://www.groupexport.ca/en/repertoire/etape2_entreprise
Careers in Agriculture,https://www.bcaitc.ca/index.php/resources/careers-agriculture
Canada - Food & Beverage Industry,https://fpsc-ctac.com/about-the-industry/
"Nutrition, Dietetics & Food",https://www.mcgill.ca/caps/students/explore/industry/nutrition
agriculture,https://www.mcgill.ca/caps/category/tags/agriculture
Canada - Agri-Food Product Category,http://groupexport.ca/en/repertoire/etape2_categorie_produits
Quebec - Agri-Foods,https://www.investquebec.com/international/en/industries/agri-food.html
Agriculture & Food Jobs,https://mcgillcaps.ca/directory/?dosrch=1&q=&wpbdp_view=search&listingfields%5B1%5D=&listingfields%5B4%5D=&listingfields%5B2%5D=103&listingfields%5B9%5D=&listingfields%5B16%5D%5B%5D=Job+Website
Food Packaging Companies,https://www.pac.ca/membership-directory/
Montreal - Agri-Food Industry,https://www.montrealinternational.com/en/keysectors/agrifood/
