Title,Link
Farm sector equity- Canada,https://www150.statcan.gc.ca/n1/daily-quotidien/260219/dq260219e-eng.htm?indid=2944-1&indgeo=0
Corn for grain production- Canada,https://www150.statcan.gc.ca/n1/daily-quotidien/251204/dq251204a-eng.htm?indid=812-4&indgeo=0
Animal production,https://www150.statcan.gc.ca/n1/en/subjects/agriculture_and_food/animal_production
Farm cash receipts- Newfoundland and Labrador,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-2&indgeo=1
Agriculture and Agri-Food Canada,https://agriculture.canada.ca/en
Historical and actual Crops Small Area Data (SAD) Regions,https://open.canada.ca/data/en/dataset/65f1cde1-95e0-4a1d-9a1a-c45b2f83a351
Farm sector equity- Newfoundland and Labrador,https://www150.statcan.gc.ca/n1/daily-quotidien/260219/dq260219e-eng.htm?indid=2944-1&indgeo=1
Total net farm income- Manitoba,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-4&indgeo=7
Farm operating expenses- Nova Scotia,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-3&indgeo=3
Farm cash receipts- Saskatchewan,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-2&indgeo=8
"Farm cash receipts, January to March 2024",https://www150.statcan.gc.ca/n1/daily-quotidien/240529/dq240529b-eng.htm
"Stocks of principal field crops, March 2024",https://www150.statcan.gc.ca/n1/daily-quotidien/240507/dq240507a-eng.htm
Farm sector equity- Saskatchewan,https://www150.statcan.gc.ca/n1/daily-quotidien/260219/dq260219e-eng.htm?indid=2944-1&indgeo=8
Realized net farm income- Ontario,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-1&indgeo=6
Farm operating expenses- Quebec,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-3&indgeo=5
Total net farm income- Newfoundland and Labrador,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-4&indgeo=1
Farm sector equity- New Brunswick,https://www150.statcan.gc.ca/n1/daily-quotidien/260219/dq260219e-eng.htm?indid=2944-1&indgeo=4
The socioeconomic snapshot of Canada’s evolving farm population,https://www150.statcan.gc.ca/n1/daily-quotidien/230825/dq230825a-eng.htm
Farm cash receipts- New Brunswick,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-2&indgeo=4
Farm operating expenses- Newfoundland and Labrador,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-3&indgeo=1
VISTA on the Agri-food Industry and the Farm Community,https://www150.statcan.gc.ca/n1/en/catalogue/21-004-X
Farm operating expenses- British Columbia,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-3&indgeo=10
Farm cash receipts- Nova Scotia,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-2&indgeo=3
Prince Edward Island - Department of Agriculture and Land,https://www.princeedwardisland.ca/en/topic/agriculture-and-land
Farm cash receipts- Canada,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-2&indgeo=0
Manitoba - Department of Agriculture,https://www.gov.mb.ca/agriculture/
Farm sector equity- Manitoba,https://www150.statcan.gc.ca/n1/daily-quotidien/260219/dq260219e-eng.htm?indid=2944-1&indgeo=7
Farm sector equity- Quebec,https://www150.statcan.gc.ca/n1/daily-quotidien/260219/dq260219e-eng.htm?indid=2944-1&indgeo=5
Farm cash receipts- British Columbia,https://www150.statcan.gc.ca/n1/daily-quotidien/251126/dq251126a-eng.htm?indid=3687-2&indgeo=10
partners who support our Agriculture and food statistics,#partner_info
